,Time Range,KS Value,Variance,IQR
0,Jun 2007 - Dec 2007,0.1613440054231608,0.0036240490254007365,
1,Dec 2007 - Jun 2008,0.17208488453329523,0.0019062000212208326,0.05385556777791797
2,Jun 2008 - Dec 2008,0.24222838809009833,0.0012326894704068575,0.04635724895920866
3,Dec 2008 - Jun 2009,0.11616171229499805,0.0017017725673224835,0.05085333333333333
4,Jun 2009 - Dec 2009,0.10398928341576322,0.0018739578917436489,0.05832755999999999
5,Dec 2009 - Jun 2010,0.12231753910242721,0.0017759183996438107,0.054869158899639774
6,Jun 2010 - Dec 2010,0.20293245310807084,0.0013299325649675869,0.04644350798781051
7,Dec 2010 - Jun 2011,0.16167780663110187,0.001424563239732678,0.05008337114624507
8,Jun 2011 - Dec 2011,0.08785165363304703,0.0016098106606562909,0.055368809523809535
9,Dec 2011 - Jun 2012,0.03583511574301823,0.002071217558638986,0.06388232928562848
10,Jun 2012 - Dec 2012,0.06115696216682087,0.0016877625138311326,0.06235304021609377
11,Dec 2012 - Jun 2013,0.09632559823285297,0.0015857726970723296,0.05832375384615384
12,Jun 2013 - Dec 2013,0.06484343749709659,0.0015272313927539162,0.05685570398351647
13,Dec 2013 - Jun 2014,0.04847575442069235,0.0015177122967639336,0.05628506226119
14,Jun 2014 - Dec 2014,0.03974171364010254,0.0016156589515464441,0.05756566064656599
15,Dec 2014 - Jun 2015,0.040407620271935396,0.0016407246634860774,0.05677072816657028
16,Jun 2015 - Dec 2015,0.022404573119558235,,0.05574516602316603
17,Dec 2015 - Jun 2016,0.011254161341025415,,0.05779844018506277
18,Jun 2016 - Dec 2016,0.045067782423258096,,0.058278646153846154
19,Dec 2016 - Jun 2017,0.05110531601915402,,0.0568446868893899
20,Jun 2017 - Dec 2017,0.03468652497347563,,0.061533696541990125
21,Dec 2017 - Jun 2018,0.045199973779814884,,0.06602134615384614
