,Time Range,KS Value,Variance,IQR
0,Jun 2007 - Aug 2007,0.4252987261360315,36.65786495817571,10.76
1,Aug 2007 - Oct 2007,0.40876289973885604,56.437710591251374,11.7575
2,Oct 2007 - Dec 2007,0.27130940053487457,58.752534044584436,13.274999999999999
3,Dec 2007 - Feb 2008,0.22875546436156008,59.86020403674053,12.045
4,Feb 2008 - Apr 2008,0.20102140931463364,56.97982132010138,11.84
5,Apr 2008 - Jun 2008,0.23591885879645297,55.55559747203308,11.970000000000002
6,Jun 2008 - Aug 2008,0.2198458690174464,53.0581739363992,11.0
7,Aug 2008 - Oct 2008,0.2642791034814215,49.66411101401328,10.450000000000001
8,Oct 2008 - Dec 2008,0.26194561235307445,43.616294762560656,10.429999999999998
9,Dec 2008 - Feb 2009,0.27056240698262224,41.2923861508215,10.645
10,Feb 2009 - Apr 2009,0.29211517511300733,45.97692923880287,10.72
11,Apr 2009 - Jun 2009,0.26981907772125957,43.578587091460534,10.24
12,Jun 2009 - Aug 2009,0.2723660480530301,40.53176511480034,9.530000000000001
13,Aug 2009 - Oct 2009,0.24927757377292736,44.37912339577792,10.455000000000002
14,Oct 2009 - Dec 2009,0.2640690562553184,44.87645486908864,10.579999999999998
15,Dec 2009 - Feb 2010,0.24553872180733827,44.36288118351181,10.302499999999998
16,Feb 2010 - Apr 2010,0.24283717368166358,43.44459470666533,10.47
17,Apr 2010 - Jun 2010,0.24290833318862204,42.47666270622194,10.035
18,Jun 2010 - Aug 2010,0.2386726252710778,42.610869149863056,10.31
19,Aug 2010 - Oct 2010,0.23842791868572777,42.94579812855331,10.459999999999999
20,Oct 2010 - Dec 2010,0.23969984944128853,42.53936791998022,10.539999999999997
21,Dec 2010 - Feb 2011,0.21929798401910627,44.19459716095978,10.379999999999999
22,Feb 2011 - Apr 2011,0.21068980606636245,46.59486245579558,10.53
23,Apr 2011 - Jun 2011,0.21304950256998423,46.548760752239545,10.779999999999998
24,Jun 2011 - Aug 2011,0.20710880389468145,46.62238984314066,10.649999999999999
25,Aug 2011 - Oct 2011,0.211875350700646,45.62504991693327,10.36
26,Oct 2011 - Dec 2011,0.21155168901788668,41.24069371251938,9.920000000000002
27,Dec 2011 - Feb 2012,0.20623208353928502,41.38314107742923,9.857499999999998
28,Feb 2012 - Apr 2012,0.20326008518244176,41.86472822544315,9.810000000000002
29,Apr 2012 - Jun 2012,0.1512260315070465,51.18553322103777,10.569999999999999
30,Jun 2012 - Aug 2012,0.05163850015498783,61.615078927823255,11.81
31,Aug 2012 - Oct 2012,0.04202996330827102,63.36478983000484,11.9575
32,Oct 2012 - Dec 2012,0.04578256030684824,60.07737450556728,11.542499999999999
33,Dec 2012 - Feb 2013,0.047917689831741384,58.195284995164144,11.459999999999999
34,Feb 2013 - Apr 2013,0.05535482107348155,58.93740329714758,11.432500000000001
35,Apr 2013 - Jun 2013,0.06496351280272283,58.295472132163205,11.430000000000001
36,Jun 2013 - Aug 2013,0.07447692712066467,57.63347620496671,11.17
37,Aug 2013 - Oct 2013,0.06281236148960967,56.982830873265534,11.24
38,Oct 2013 - Dec 2013,0.05978321421484256,56.730715631819194,11.270000000000001
39,Dec 2013 - Feb 2014,0.058121133451527474,56.60489676550233,11.270000000000001
40,Feb 2014 - Apr 2014,0.06036299489374741,56.24465942162973,11.080000000000002
41,Apr 2014 - Jun 2014,0.058034297302803184,57.84518627476615,11.349999999999998
42,Jun 2014 - Aug 2014,0.035940747268997764,62.64143343409333,11.659999999999998
43,Aug 2014 - Oct 2014,0.02382924710956802,73.26135661562597,12.44
44,Oct 2014 - Dec 2014,0.01280178139435506,73.51529469425606,12.520000000000001
45,Dec 2014 - Feb 2015,0.029212550748195232,74.39806529470158,12.689999999999998
46,Feb 2015 - Apr 2015,0.03208798498076465,73.47951329154104,12.51
47,Apr 2015 - Jun 2015,0.02465430382943201,74.5730774403365,12.649999999999999
48,Jun 2015 - Aug 2015,0.03254654567629878,75.11760583696588,12.74
49,Aug 2015 - Oct 2015,0.03329260140988466,75.58995360832222,12.8
50,Oct 2015 - Dec 2015,0.04046345939392815,96.42614862610729,
51,Dec 2015 - Feb 2016,0.04095255302291556,85.80343809048115,
52,Feb 2016 - Apr 2016,0.035312962628338385,111.87376846337742,
53,Apr 2016 - Jun 2016,0.009353035074873173,130.2234425084097,
54,Jun 2016 - Aug 2016,0.03735726201609457,63.74391853614761,12.010000000000002
55,Aug 2016 - Oct 2016,0.03237457646653619,110.9546452343362,
56,Oct 2016 - Dec 2016,0.02852187554213481,146.92057270707818,
57,Dec 2016 - Feb 2017,0.02899988599888248,139.7350122982163,
58,Feb 2017 - Apr 2017,0.021357689439855942,199.3148376356733,
59,Apr 2017 - Jun 2017,0.017942296133741986,198.65265974017268,
60,Jun 2017 - Aug 2017,0.011743725879258093,353.3472063764125,
61,Aug 2017 - Oct 2017,0.03427354928229431,472.94083235388405,
62,Oct 2017 - Dec 2017,0.029760911078281244,425.0716191153641,
63,Dec 2017 - Feb 2018,0.03162978312916054,514.0873975151773,
64,Feb 2018 - Apr 2018,0.03378901549756963,398.52581114847607,
65,Apr 2018 - Jun 2018,0.034122838227765906,373.07015836932374,
66,Jun 2018 - Aug 2018,0.033221618573407996,463.6417224788939,
67,Aug 2018 - Oct 2018,0.03615970111411804,412.6092911347498,
