,Time Range,KS Value,Variance,IQR
0,Jun 2007 - Jun 2008,0.1653017036725592,0.0023885959651735733,
1,Jun 2008 - Jun 2009,0.1540376266899745,0.001590173428915195,0.0504474750827521
2,Jun 2009 - Jun 2010,0.11235886746619217,0.001815051413292931,0.05624028943850268
3,Jun 2010 - Jun 2011,0.1794697255207222,0.0013863007695154366,0.04859493659344688
4,Jun 2011 - Jun 2012,0.028840743477612868,0.001922612378330157,0.06095447008547009
5,Jun 2012 - Jun 2013,0.07989050790529928,0.0016285956682527414,0.059835323519843844
6,Jun 2013 - Jun 2014,0.05469330834734071,0.0015222801546157425,0.056505320138240625
7,Jun 2014 - Jun 2015,0.03994807740808465,0.0016300959531978763,0.05715973407958811
8,Jun 2015 - Jun 2016,0.01654647011692789,,0.05683125333333333
9,Jun 2016 - Jun 2017,0.047947504243166184,,0.0575466600458365
10,Jun 2017 - Jun 2018,0.0327352315052194,,0.0637848
