,Time Range,KS Value,Variance,IQR
0,Jun 2007 - Dec 2007,0.3328393763177125,54.358662564543145,12.464999999999998
1,Dec 2007 - Jun 2008,0.20182784644903007,58.03881021137297,12.075000000000001
2,Jun 2008 - Dec 2008,0.2393888633911087,47.52932318941184,10.482500000000002
3,Dec 2008 - Jun 2009,0.2673464661988417,43.81459631817231,10.49
4,Jun 2009 - Dec 2009,0.2587210813368377,43.62118802099064,10.212500000000002
5,Dec 2009 - Jun 2010,0.2418061912043552,43.295590777561756,10.244999999999997
6,Jun 2010 - Dec 2010,0.23601637390664842,42.699704604015146,10.429999999999998
7,Dec 2010 - Jun 2011,0.21172778842354867,45.880974715397635,10.6
8,Jun 2011 - Dec 2011,0.20659048070998576,44.42156744469274,10.280000000000001
9,Dec 2011 - Jun 2012,0.18309679165170623,45.6924895195167,10.200000000000001
10,Jun 2012 - Dec 2012,0.04536183638392943,61.69122063430698,11.762500000000001
11,Dec 2012 - Jun 2013,0.05569663826234217,58.53993814506738,11.447500000000002
12,Jun 2013 - Dec 2013,0.06428417972174982,57.12961043674686,11.23
13,Dec 2013 - Jun 2014,0.05843045462496854,56.92267179708298,11.235000000000003
14,Jun 2014 - Dec 2014,0.01457880981008089,69.63147271795523,12.179999999999998
15,Dec 2014 - Jun 2015,0.028483651364111073,74.1487819678938,12.610000000000001
16,Jun 2015 - Dec 2015,0.035006667228885846,82.5173672829287,
17,Dec 2015 - Jun 2016,0.02904021131781631,108.72583622741917,
18,Jun 2016 - Dec 2016,0.03277271517031943,107.11237256183443,
19,Dec 2016 - Jun 2017,0.022274508366114554,181.517102848001,
20,Jun 2017 - Dec 2017,0.017012508985951857,415.9656607583656,
21,Dec 2017 - Jun 2018,0.03158288432984491,422.6723191331622,
